name_ja,city_code,area,shop_type,source,brief_note
Lloyds Antiques 神戸,kobe,motomachi_nankinmachi,antique,rafuju,Shosen Mitsui Bldg(Taisho era); UK/FR/Nordic furniture
神戸アンティークウェアハウス,kobe,harborland_meriken,antique,rafuju,container direct import; affordable antique furniture
pilliken antique,kobe,motomachi_nankinmachi,antique,kepco,Otsunakacho west end; antique clocks specialist
mano,kobe,kitano_shinkobe,zakka,kepco,Kitano; Mexican handcraft; colorful folk art
トト路地,kobe,motomachi_nankinmachi,zakka,kepco,Sakaemachi Bldg 3F; 80+ creators rental box
ツバクロ,kobe,motomachi_nankinmachi,zakka,kepco,15yr; ceramics+stationery+clothing+original
Rollo Antiques,kobe,motomachi_nankinmachi,antique,instagram,Motomachi; vintage buttons+beads+ribbons+parts
乙仲通り,kobe,motomachi_nankinmachi,shopping_street,web_search,アンティーク街; 元町裏通り; エリア体験
栄町ビルディング,kobe,motomachi_nankinmachi,zakka,web_search,昭和レトロビル; 小店集合; 神户独特
Favori,kobe,kitano_shinkobe,zakka,web_search,フランス雑貨; 北野; 小さなセレクトショップ
A-1 BAKERY & VINTAGE,kobe,motomachi_nankinmachi,furugi,web_search,パン+ヴィンテージ; 元町; 珍しい組合せ
TOOTH TOOTH maison 15th,kobe,motomachi_nankinmachi,zakka,web_search,旧居留地; 洋菓子+カフェ+雑貨; 歴史建築
HOMIES,kyoto,shijo_kawaramachi,furugi,dress_code,15yr; world vintage; Kyoto icon
ANAgRAM,kyoto,shijo_kawaramachi,furugi,dress_code,Europe vintage; elegant; design-forward
古着屋JAM 京都三条店,kyoto,shijo_kawaramachi,furugi,multiple,8000items; beginner OK; chain
BIG TIME,kyoto,shijo_kawaramachi,furugi,multiple,Sanjo; 4floors; vintage theme park
pastime,kyoto,shijo_kawaramachi,furugi,dress_code,Gokomachi; work wear; American vintage
BMC,kyoto,shijo_kawaramachi,furugi,dress_code,vintage+designers+original brand
LOWECO by JAM 京都,kyoto,shijo_kawaramachi,furugi,multiple,500-3000yen; budget treasure hunt
Three Star,kyoto,shijo_kawaramachi,furugi,elle_hk,Shinkyogoku; largest Kyoto; gallery inside
Kanful,kyoto,shijo_kawaramachi,furugi,elle_hk,affordable; under 10000yen daily wear
Un petit coup doeil,kyoto,shijo_kawaramachi,furugi,elle_hk,French exterior; mature women; unique selection
Kindal 京都店,kyoto,shijo_kawaramachi,vintage_shop,elle_hk,3F; LV/Hermes/Chanel; tax-free; Chinese staff
原宿Chicago 京都店,kyoto,shijo_kawaramachi,furugi,elle_hk,Teramachi; 1000+ kimono upstairs; chain
DECOUVERTE KYOTO,kyoto,shijo_kawaramachi,furugi,elle_hk,Teramachi Shijo-sagaru
HUMAN MADE 1928 京都,kyoto,shijo_kawaramachi,furugi,extrabux,1928 registered cultural property; NIGO brand
SOU SOU おくりもの,kyoto,shijo_kawaramachi,craft,multiple,wa-modern textile; gift shop; Kawaramachi
ANGERS アンジェ 河原町本店,kyoto,shijo_kawaramachi,zakka,multiple,3F; stationery+fashion+kitchen; design goods
mumokuteki goods & wears,kyoto,shijo_kawaramachi,zakka,multiple,natural material; organic; craft collab
TOBICHI京都,kyoto,shijo_kawaramachi,zakka,multiple,Hobonichi; Kotobuki Bldg registered cultural property
D&Department 京都店,kyoto,shijo_kawaramachi,zakka,douban,in Bukkoji temple; lifestyle brand; food+bikes
むす美,kyoto,shijo_kawaramachi,craft,multiple,furoshiki specialist; traditional+modern patterns
倉日用商店,kyoto,shijo_kawaramachi,zakka,multiple,Marutamachi; folk craft+daily necessities
横山竹材店,kyoto,shijo_kawaramachi,craft,asoview,est.Taisho 8; bamboo craft; workshop available
あかりデザイン工房,kyoto,kyoto_station,craft,asoview,handmade washi paper lighting; JR Enmachi 9min
京あめ Crochet,kyoto,shijo_kawaramachi,local_specialty,multiple,Imanishi Seika; 30 flavors; kimono box; factory tour
亀屋良長,kyoto,shijo_kawaramachi,local_specialty,multiple,est.1803; slice yokan; SNS viral
IRODORI,kyoto,shijo_kawaramachi,local_specialty,multiple,pastel stick wagashi; modern; 10th yr
果朋 KAHOU,kyoto,shijo_kawaramachi,local_specialty,multiple,seasonal fruit wagashi; bottle dango; cute
KYOTO SOUZEN,kyoto,kyoto_station,local_specialty,multiple,kushi warabi mochi; room temp; wrapped; Kyoto Sta
聖護院八ッ橋総本店,kyoto,shijo_kawaramachi,local_specialty,multiple,est.1689; 300yr classic; yatsuhashi
笹屋伊織,kyoto,shijo_kawaramachi,local_specialty,multiple,dorayaki only 20-22nd monthly; no egg; secret recipe
誠光社,kyoto,shijo_kawaramachi,bookstore,cinra,ex-Keibunsha manager; direct sourcing; unique curation
余波舎,kyoto,shijo_kawaramachi,bookstore,potel,2024.1 open; new+used books; HK publications unique
hoka books,kyoto,kyoto_station,bookstore,potel,Horikawa-gojo alley; blue bookshelf; gallery 2F
CAVA BOOKS,kyoto,shijo_kawaramachi,bookstore,multiple,inside Demachiza cinema; Demachiyanagi 5min
三密堂書店,kyoto,shijo_kawaramachi,bookstore,kyotopi,old bookstore; rare night hours; Shijo area
堀川新文化ビルヂング,kyoto,shijo_kawaramachi,bookstore,multiple,Ogaki Shoten complex; cafe+gallery+print workshop
FACE RECORDS 京都,kyoto,shijo_kawaramachi,record_shop,musicfirst,Takashimaya 4F; JBL speakers; beginner corner
ART ROCK NO.1,kyoto,shijo_kawaramachi,record_shop,artrock,Kawaramachi Nijo 7F; since 1997; all genre veteran
バナナレコード 京都,kyoto,shijo_kawaramachi,record_shop,banana,Kawaramachi 5min; 6000 LP+CD stock
TORADRA RECORD,kyoto,shijo_kawaramachi,record_shop,recoya,Shinkyogoku; Rock/Jazz/Pops; rare imports
VINYL7 RECORDS,kyoto,shijo_kawaramachi,record_shop,recoya,Nakagyo-ku; curated selection
錦市場,kyoto,shijo_kawaramachi,shopping_street,multiple,400m; Kyoto kitchen; fresh food+processed+goods
新京極商店街,kyoto,shijo_kawaramachi,shopping_street,multiple,indie designers+vintage shops+Kyoto souvenirs
寺町通,kyoto,shijo_kawaramachi,shopping_street,multiple,traditional shops+antiques; calm; old Kyoto
古着屋JAM 京都四条店,kyoto,shijo_kawaramachi,furugi,thisisgallery,Shijo; American vintage; affordable; chain
Elulu by JAM 京都店,kyoto,shijo_kawaramachi,furugi,thisisgallery,ladies only; retro pop; JAM sister brand
flamingo 京都店,kyoto,shijo_kawaramachi,furugi,thisisgallery,Shinkyogoku; pop design; shoes+accessories; affordable
RUSHOUT 京都店,kyoto,shijo_kawaramachi,furugi,thisisgallery,US direct; sports+band T; budget
GRIZZLY 京都店,kyoto,shijo_kawaramachi,furugi,thisisgallery,Shinkyogoku; 1000yen~; Carhartt/Ralph Lauren
gRASS,kyoto,shijo_kawaramachi,furugi,thisisgallery,Gokomachi-Sanjo; American+military; street pop
goat,kyoto,shijo_kawaramachi,furugi,thisisgallery,Gokomachi; classic+mode; Margiela/Marni; quality
boro used clothing,kyoto,shijo_kawaramachi,furugi,thisisgallery,Teramachi; euro+quality used; good condition
Gian,kyoto,shijo_kawaramachi,furugi,thisisgallery,Amecaji+vintage; Ralph Lauren+leather shoes
SWAMPMAN,kyoto,shijo_kawaramachi,furugi,thisisgallery,mode+design vintage; fashion forward
dorama,kyoto,shijo_kawaramachi,furugi,thisisgallery,Teramachi-Nijo; mode x street; new brand mix
gugu,kyoto,shijo_kawaramachi,furugi,thisisgallery,Gokomachi; euro vintage; beginner+veteran
Reveille,kyoto,shijo_kawaramachi,furugi,thisisgallery,retro+vintage; good price; broad selection
Haole,kyoto,shijo_kawaramachi,furugi,thisisgallery,American vintage+euro; leather shoes; must-go
ACHUU,kyoto,shijo_kawaramachi,furugi,thisisgallery,euro vintage; military rich; affordable options
ROGER'S,kyoto,shijo_kawaramachi,furugi,thisisgallery,Teramachi; American vintage; amecaji; denim
北白川ちせ,kyoto,northern_higashiyama,zakka,kepco,ceramics+accessories+jam; cozy lifestyle
京都伝統産業ミュージアム,kyoto,northern_higashiyama,craft,asoview,exhibition+experience+shop; artisan demos weekends
恵文社 一乗寺店,kyoto,northern_higashiyama,bookstore,multiple,50th year; pioneer indie bookstore; new+old+indie
東寺 弘法市,kyoto,kyoto_station,market,multiple,21st monthly; 7-16h; 1000 stalls; Kyoto Sta 15min walk
北野天満宮 天神市,kyoto,northern_higashiyama,market,multiple,25th monthly; antique+vintage+handmade at shrine
百万遍さんの手づくり市,kyoto,northern_higashiyama,market,tedukuri_ichi,15th monthly(exc Aug); Chionji; handmade goods+food
上賀茂神社 手作り市,kyoto,northern_higashiyama,market,multiple,4th Sunday monthly; UNESCO World Heritage site
平安蚤の市,kyoto,northern_higashiyama,market,heiannominoichi,around 10th monthly; Okazaki Park; 100 antique stalls
清水寺1000マーケット,kyoto,gion_higashiyama,market,multiple,28th monthly; 9-16h; Kiyomizu temple gate plaza
中川政七商店 奈良本店,nara,naramachi,craft,web_search,手工芸/杂货老铺; 1716年创业; 奈良町
遊 中川 本店,nara,todaiji,craft,web_search,手工芸; 東大寺参道; 中川政七系列
鹿の舟,nara,naramachi,zakka,web_search,复合设施; カフェ+杂货+観光案内; 奈良町
ACART LIFESTYLE,nara,naramachi,zakka,web_search,现代奈良杂货; 小鹿モチーフ
吉田蚊帳,nara,naramachi,craft,web_search,奈良特产蚊帐; 手工艺; 老铺
砂糖傅 増尾商店,nara,nara_station,local_specialty,web_search,金平糖専門; 奈良駅前; 伴手礼
春鹿 今西清兵衛商店,nara,naramachi,local_specialty,web_search,清酒酒蔵; 试饮; 奈良町
ならまち格子の家,nara,naramachi,cultural_facility,web_search,町家展示; 無料; 奈良町散步
古着屋JAM アメリカ村店,osaka,shinsaibashi,furugi,multiple,8000items; 80-90s American direct
古着屋JAM アメリカ村2号店,osaka,shinsaibashi,furugi,jam,130tsubo; 11000items
マグネッツ アメ村店,osaka,shinsaibashi,furugi,multiple,vintage+military; all ages
ピグスティ アメ村店,osaka,shinsaibashi,furugi,multiple,3000items; mens+ladies+antique goods
RUSHOUT アメリカ村店,osaka,shinsaibashi,furugi,rushout,all from US direct; 70-90s; no middleman cheap
CHAPPIE,osaka,shinsaibashi,furugi,multiple,Amemura center; beginner; street casual
サントニブンノイチ 大阪,osaka,shinsaibashi,furugi,multiple,American kids room concept; all genres
フロリダ アメリカ村店,osaka,shinsaibashi,furugi,multiple,casual American; Shinsaibashi 8min
グリズリー アメ村店,osaka,shinsaibashi,furugi,multiple,Namba 6min; reasonable; spacious
LARA VINTAGE,osaka,shinsaibashi,furugi,multiple,Horie; 1800-1940s Europe vintage; most in Osaka
大黒屋 大阪,osaka,shinsaibashi,vintage_shop,multiple,largest luxury 2nd hand Japan; est.1947; tax-free
Hedy Vintage 大阪,osaka,shinsaibashi,vintage_shop,wamazing,LV/Fendi/Dior/Loewe; affordable; since 2013
Ragtag 大阪,osaka,shinsaibashi,vintage_shop,multiple,designer brand 2nd hand; chain
Komehyo 大阪,osaka,shinsaibashi,vintage_shop,multiple,brand 2nd hand chain; Shinsaibashi
2nd STREET 大阪,osaka,shinsaibashi,furugi,wamazing,all-category 2nd hand chain; by color display
NUTTY,osaka,shinsaibashi,furugi,letsgojp,Horie; adult classic vintage fashion
ASOKO 南堀江,osaka,shinsaibashi,zakka,letsgojp,all 300yen; design lifestyle goods; fun
ichi,osaka,shinsaibashi,craft,letsgojp,Horie; leather+silver; custom order; artisan made
TIMELESS COMFORT,osaka,shinsaibashi,zakka,letsgojp,Horie; furniture+appliances+cafe; quality life
VINYL CHAMBER,osaka,shinsaibashi,record_shop,vinylchamber,Shinsaibashi; used+import vinyl records
Orange Street,osaka,shinsaibashi,shopping_street,letsgojp,Horie main st; fashion+vintage+cafe+zakka
terrace VINTAGE & USED CLOTHING,osaka,shinsaibashi,furugi,thisisgallery,Shinmachi; spacious+lounge; kids+zakka too
souls,osaka,shinsaibashi,furugi,thisisgallery,Minami-Horie; quirky design; affordable; Thu closed
Asagi,osaka,shinsaibashi,furugi,thisisgallery,Shinsaibashi; 3F; US+euro vintage+designers; date spot
KINJI,osaka,shinsaibashi,furugi,thisisgallery,Amemura; student friendly; large chain
mecca,osaka,shinsaibashi,furugi,thisisgallery,Amemura; American vintage specialist
STANDARD BOOKSTORE,osaka,shinsaibashi,bookstore,web_search,本+雑貨+カフェ; 心斎橋; 大阪代表的独立書店
サクラビル,osaka,umeda_kita,furugi,multiple,Nakazakicho landmark; 3F all budget vintage
古着屋olfe,osaka,umeda_kita,furugi,instagram,Nakazaki; Europe center; 400items/month rotation
A vaut.,osaka,umeda_kita,furugi,instagram,unlike-vintage selection; 13-19; Thu closed
BOW & ARROW,osaka,umeda_kita,furugi,kurarin,since 1997; West Coast Vintage; Nakazaki icon
レトロ古着ランデヴー,osaka,umeda_kita,furugi,kurarin,Showa retro; pattern shirts; 3000-5000yen
BEST VINTAGE Grand Front,osaka,umeda_kita,antique,multiple,antique watches specialist; 2000pieces; BEST ISHIDA
KAYA cafe,osaka,umeda_kita,zakka,cottrip,90yr kominka cafe; tofu tiramisu; antique furniture
太陽ノ塔,osaka,umeda_kita,zakka,multiple,Nakazakicho; cafe+patisserie+kids clothes+zakka
Attic Days,osaka,umeda_kita,zakka,prettyonline,adult attic room concept; zakka+accessories+clothes
green pepe,osaka,umeda_kita,zakka,cottrip,Showa retro 70-80s; vintage clothes+tableware; domestic
天五中崎通商店街,osaka,umeda_kita,shopping_street,gltjp,Oideyasu-dori; 400m; 110 shops; retro+trend
Pigsty 梅田店,osaka,umeda_kita,furugi,thisisgallery,Nakazaki; spacious; regular~vintage; ladies corner
Pigsty a⇌zSTORE,osaka,umeda_kita,furugi,thisisgallery,Nakazaki; whole bldg; 2F ladies Vivie; affordable
Salvage,osaka,umeda_kita,furugi,thisisgallery,Toyosaki warehouse; mostly under 10000yen; accessories
PARAMEXICO,osaka,umeda_kita,furugi,thisisgallery,Nakazaki; American vintage; faded aesthetic; denim
大阪古着屋 garden 中崎町,osaka,umeda_kita,furugi,thisisgallery,ladies main; vintage denim+military; green+bright
BARR vintage select store,osaka,umeda_kita,furugi,thisisgallery,Nakazaki; euro vintage; Hermes/Burberry; quality
ciatre,osaka,umeda_kita,furugi,thisisgallery,Nakazaki; coffee shop+vintage; lifestyle
にじゆら 大阪中崎町本店,osaka,umeda_kita,craft,cottrip,注染手ぬぐい専門; 堺市生まれ; 職人手作業; 限定柄
ことりの実,osaka,umeda_kita,zakka,cottrip,Nakazaki; 作家アクセサリー; カラフル; 小さな店
ギニョール,osaka,umeda_kita,zakka,cottrip,Nakazaki; 天体+蝶+キノコ; フランスbrocante; 博物学雑貨
toi books,osaka,umeda_kita,bookstore,web_search,中崎町; 小さな独立書店; カルチャー発信
天満宮表参道,osaka,umeda_kita,shopping_street,web_search,大阪天満宮; 月イチ蚤の市あり
黒門市場,osaka,namba_dotonbori,shopping_street,web_search,食材+食べ歩き; 大阪の台所; 商店街
空堀商店街,osaka,tennoji_shinsekai,shopping_street,web_search,長屋+カフェ+雑貨; レトロ; 谷町六丁目
